As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2021-04-19,1,1,-,Synchronic,Movie,,"Apr 16, 2021",2,20
2021-04-19,2,5,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",4,27
2021-04-19,3,2,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",5,46
2021-04-19,4,3,1,Thunder Force,Movie,Yes,"Apr 9, 2021",10,91
2021-04-19,5,4,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",5,39
2021-04-19,6,6,-,The Circle US,TV Show,Yes,"Jan 1, 2020",5,31
2021-04-19,7,7,7,Cocomelon,TV Show,,"Jun 1, 2020",178,568
2021-04-19,8,9,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",24,193
2021-04-19,9,10,-,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",7,20
2021-04-19,10,-,5,The Serpent,TV Show,Yes,"Apr 2, 2021",15,78
2021-04-20,1,1,-,Synchronic,Movie,,"Apr 16, 2021",3,30
2021-04-20,2,2,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",5,36
2021-04-20,3,3,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",6,54
2021-04-20,4,6,-,The Circle US,TV Show,Yes,"Jan 1, 2020",6,38
2021-04-20,5,5,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",6,45
2021-04-20,6,7,7,Cocomelon,TV Show,,"Jun 1, 2020",179,573
2021-04-20,7,4,1,Thunder Force,Movie,Yes,"Apr 9, 2021",11,95
2021-04-20,8,8,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",25,196
2021-04-20,9,9,8,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",8,22
2021-04-20,10,10,4,The Serpent,TV Show,Yes,"Apr 2, 2021",16,79
2021-04-21,1,2,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",6,46
2021-04-21,2,1,-,Synchronic,Movie,,"Apr 16, 2021",4,39
2021-04-21,3,6,6,Cocomelon,TV Show,,"Jun 1, 2020",180,581
2021-04-21,4,3,-,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",7,61
2021-04-21,5,4,-,The Circle US,TV Show,Yes,"Jan 1, 2020",7,44
2021-04-21,6,7,1,Thunder Force,Movie,Yes,"Apr 9, 2021",12,100
2021-04-21,7,5,-,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",7,49
2021-04-21,8,9,5,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",9,25
2021-04-21,9,8,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",26,198
2021-04-21,10,10,4,The Serpent,TV Show,Yes,"Apr 2, 2021",17,80
2021-04-22,1,5,4,The Circle US,TV Show,Yes,"Jan 1, 2020",8,54
2021-04-22,2,1,-,The Baker and the Beauty,TV Show,,"Apr 13, 2021",7,55
2021-04-22,3,2,-,Synchronic,Movie,,"Apr 16, 2021",5,47
2021-04-22,4,3,7,Cocomelon,TV Show,,"Jun 1, 2020",181,588
2021-04-22,5,4,2,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",8,67
2021-04-22,6,6,1,Thunder Force,Movie,Yes,"Apr 9, 2021",13,105
2021-04-22,7,8,9,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",10,29
2021-04-22,8,10,8,The Serpent,TV Show,Yes,"Apr 2, 2021",18,83
2021-04-22,9,9,5,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",27,200
2021-04-22,10,7,3,Why Did You Kill Me?,Movie,Yes,"Apr 14, 2021",8,50
2021-04-23,1,1,4,The Circle US,TV Show,Yes,"Jan 1, 2020",9,64
2021-04-23,2,2,5,The Baker and the Beauty,TV Show,,"Apr 13, 2021",8,64
2021-04-23,3,-,-,Stowaway,Movie,Yes,"Apr 22, 2021",1,8
2021-04-23,4,4,6,Cocomelon,TV Show,,"Jun 1, 2020",182,595
2021-04-23,5,-,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",1,6
2021-04-23,6,3,-,Synchronic,Movie,,"Apr 16, 2021",6,52
2021-04-23,7,7,8,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",11,33
2021-04-23,8,5,1,Dad Stop Embarrassing Me!,TV Show,Yes,"Apr 14, 2021",9,70
2021-04-23,9,8,9,The Serpent,TV Show,Yes,"Apr 2, 2021",19,85
2021-04-23,10,9,7,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",28,201
2021-04-24,1,-,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",1,10
2021-04-24,2,3,-,Stowaway,Movie,Yes,"Apr 22, 2021",2,17
2021-04-24,3,1,4,The Circle US,TV Show,Yes,"Jan 1, 2020",10,72
2021-04-24,4,2,5,The Baker and the Beauty,TV Show,,"Apr 13, 2021",9,71
2021-04-24,5,4,6,Cocomelon,TV Show,,"Jun 1, 2020",183,601
2021-04-24,6,5,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",2,11
2021-04-24,7,6,-,Synchronic,Movie,,"Apr 16, 2021",7,56
2021-04-24,8,7,8,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",12,36
2021-04-24,9,9,9,The Serpent,TV Show,Yes,"Apr 2, 2021",20,87
2021-04-24,10,-,3,Thunder Force,Movie,Yes,"Apr 9, 2021",14,106
2021-04-25,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",2,20
2021-04-25,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",3,26
2021-04-25,3,6,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",3,19
2021-04-25,4,4,5,The Baker and the Beauty,TV Show,,"Apr 13, 2021",10,78
2021-04-25,5,3,6,The Circle US,TV Show,Yes,"Jan 1, 2020",11,78
2021-04-25,6,5,7,Cocomelon,TV Show,,"Jun 1, 2020",184,606
2021-04-25,7,7,1,Synchronic,Movie,,"Apr 16, 2021",8,60
2021-04-25,8,10,3,Thunder Force,Movie,Yes,"Apr 9, 2021",15,109
2021-04-25,9,8,10,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",13,38
2021-04-25,10,9,-,The Serpent,TV Show,Yes,"Apr 2, 2021",21,88
2021-04-26,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",3,30
2021-04-26,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",4,35
2021-04-26,3,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",4,27
2021-04-26,4,4,2,The Baker and the Beauty,TV Show,,"Apr 13, 2021",11,85
2021-04-26,5,5,6,The Circle US,TV Show,Yes,"Jan 1, 2020",12,84
2021-04-26,6,6,7,Cocomelon,TV Show,,"Jun 1, 2020",185,611
2021-04-26,7,7,1,Synchronic,Movie,,"Apr 16, 2021",9,64
2021-04-26,8,8,4,Thunder Force,Movie,Yes,"Apr 9, 2021",16,112
2021-04-26,9,10,10,The Serpent,TV Show,Yes,"Apr 2, 2021",22,90
2021-04-26,10,9,9,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",14,39
2021-04-27,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",4,40
2021-04-27,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",5,44
2021-04-27,3,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",5,35
2021-04-27,4,4,2,The Baker and the Beauty,TV Show,,"Apr 13, 2021",12,92
2021-04-27,5,5,4,The Circle US,TV Show,Yes,"Jan 1, 2020",13,90
2021-04-27,6,6,6,Cocomelon,TV Show,,"Jun 1, 2020",186,616
2021-04-27,7,9,10,The Serpent,TV Show,Yes,"Apr 2, 2021",23,94
2021-04-27,8,10,9,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",15,42
2021-04-27,9,-,-,American Me,Movie,,"Apr 17, 2021",1,2
2021-04-27,10,-,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",41,331
2021-04-28,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",5,50
2021-04-28,2,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",6,53
2021-04-28,3,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",6,43
2021-04-28,4,4,1,The Baker and the Beauty,TV Show,,"Apr 13, 2021",13,99
2021-04-28,5,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",14,96
2021-04-28,6,6,3,Cocomelon,TV Show,,"Jun 1, 2020",187,621
2021-04-28,7,7,10,The Serpent,TV Show,Yes,"Apr 2, 2021",24,98
2021-04-28,8,8,8,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",16,45
2021-04-28,9,9,-,American Me,Movie,,"Apr 17, 2021",2,4
2021-04-28,10,10,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",42,332
2021-04-29,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",6,60
2021-04-29,2,5,1,The Circle US,TV Show,Yes,"Jan 1, 2020",15,105
2021-04-29,3,2,-,Stowaway,Movie,Yes,"Apr 22, 2021",7,61
2021-04-29,4,4,2,The Baker and the Beauty,TV Show,,"Apr 13, 2021",14,106
2021-04-29,5,3,-,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",7,49
2021-04-29,6,6,4,Cocomelon,TV Show,,"Jun 1, 2020",188,626
2021-04-29,7,8,7,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",17,49
2021-04-29,8,9,-,American Me,Movie,,"Apr 17, 2021",3,7
2021-04-29,9,10,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",43,334
2021-04-29,10,7,8,The Serpent,TV Show,Yes,"Apr 2, 2021",25,99
2021-04-30,1,1,-,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",7,70
2021-04-30,2,2,1,The Circle US,TV Show,Yes,"Jan 1, 2020",16,114
2021-04-30,3,-,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",1,8
2021-04-30,4,6,4,Cocomelon,TV Show,,"Jun 1, 2020",189,633
2021-04-30,5,4,2,The Baker and the Beauty,TV Show,,"Apr 13, 2021",15,112
2021-04-30,6,3,3,Stowaway,Movie,Yes,"Apr 22, 2021",8,66
2021-04-30,7,-,-,Yasuke,TV Show,Yes,"Apr 29, 2021",1,4
2021-04-30,8,5,5,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",8,52
2021-04-30,9,7,7,"Nicky, Ricky, Dicky & Dawn",TV Show,,"Apr 12, 2021",18,51
2021-04-30,10,9,-,Ginny & Georgia,TV Show,Yes,"Feb 24, 2021",44,335
2021-05-01,1,-,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",1,10
2021-05-01,2,1,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",8,79
2021-05-01,3,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",2,16
2021-05-01,4,2,3,The Circle US,TV Show,Yes,"Jan 1, 2020",17,121
2021-05-01,5,4,5,Cocomelon,TV Show,,"Jun 1, 2020",190,639
2021-05-01,6,7,-,Yasuke,TV Show,Yes,"Apr 29, 2021",2,9
2021-05-01,7,6,2,Stowaway,Movie,Yes,"Apr 22, 2021",9,70
2021-05-01,8,5,4,The Baker and the Beauty,TV Show,,"Apr 13, 2021",16,115
2021-05-01,9,8,6,Life in Color with David At…,TV Show,Yes,"Apr 22, 2021",9,54
2021-05-01,10,-,-,The Innocent,TV Show,Yes,"Apr 30, 2021",1,1
2021-05-02,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",2,20
2021-05-02,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",9,88
2021-05-02,3,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",3,24
2021-05-02,4,-,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",1,7
2021-05-02,5,4,5,The Circle US,TV Show,Yes,"Jan 1, 2020",18,127
2021-05-02,6,-,-,Love Happens,Movie,,"May 1, 2021",1,5
2021-05-02,7,-,-,Green Zone,Movie,,"May 1, 2021",1,4
2021-05-02,8,5,6,Cocomelon,TV Show,,"Jun 1, 2020",191,642
2021-05-02,9,6,-,Yasuke,TV Show,Yes,"Apr 29, 2021",3,11
2021-05-02,10,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",2,2
2021-05-03,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",3,30
2021-05-03,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",10,97
2021-05-03,3,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",4,32
2021-05-03,4,4,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",2,14
2021-05-03,5,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",19,133
2021-05-03,6,6,-,Love Happens,Movie,,"May 1, 2021",2,10
2021-05-03,7,7,-,Green Zone,Movie,,"May 1, 2021",2,8
2021-05-03,8,8,6,Cocomelon,TV Show,,"Jun 1, 2020",192,645
2021-05-03,9,9,-,Yasuke,TV Show,Yes,"Apr 29, 2021",4,13
2021-05-03,10,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",3,3
2021-05-04,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",4,40
2021-05-04,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",11,106
2021-05-04,3,4,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",3,22
2021-05-04,4,7,-,Green Zone,Movie,,"May 1, 2021",3,15
2021-05-04,5,6,-,Love Happens,Movie,,"May 1, 2021",3,16
2021-05-04,6,3,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",5,37
2021-05-04,7,5,5,The Circle US,TV Show,Yes,"Jan 1, 2020",20,137
2021-05-04,8,10,-,The Innocent,TV Show,Yes,"Apr 30, 2021",4,6
2021-05-04,9,-,-,Your Highness,Movie,,"May 1, 2021",1,2
2021-05-04,10,8,6,Cocomelon,TV Show,,"Jun 1, 2020",193,646
2021-05-05,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",5,50
2021-05-05,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",12,115
2021-05-05,3,-,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",12,94
2021-05-05,4,3,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",4,29
2021-05-05,5,5,-,Love Happens,Movie,,"May 1, 2021",4,22
2021-05-05,6,4,-,Green Zone,Movie,,"May 1, 2021",4,20
2021-05-05,7,8,-,The Innocent,TV Show,Yes,"Apr 30, 2021",5,10
2021-05-05,8,6,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",6,40
2021-05-05,9,7,5,The Circle US,TV Show,Yes,"Jan 1, 2020",21,139
2021-05-05,10,10,6,Cocomelon,TV Show,,"Jun 1, 2020",194,647
2021-05-06,1,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",6,60
2021-05-06,2,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",13,124
2021-05-06,3,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",13,102
2021-05-06,4,4,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",5,36
2021-05-06,5,5,-,Love Happens,Movie,,"May 1, 2021",5,28
2021-05-06,6,6,-,Green Zone,Movie,,"May 1, 2021",5,25
2021-05-06,7,7,-,The Innocent,TV Show,Yes,"Apr 30, 2021",6,14
2021-05-06,8,8,-,Things Heard & Seen,Movie,Yes,"Apr 29, 2021",7,43
2021-05-06,9,9,2,The Circle US,TV Show,Yes,"Jan 1, 2020",22,141
2021-05-06,10,10,6,Cocomelon,TV Show,,"Jun 1, 2020",195,648
2021-05-07,1,-,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",1,10
2021-05-07,2,1,-,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",7,69
2021-05-07,3,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",14,110
2021-05-07,4,9,2,The Circle US,TV Show,Yes,"Jan 1, 2020",23,148
2021-05-07,5,2,1,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",14,130
2021-05-07,6,4,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",6,41
2021-05-07,7,10,4,Cocomelon,TV Show,,"Jun 1, 2020",196,652
2021-05-07,8,7,-,The Innocent,TV Show,Yes,"Apr 30, 2021",7,17
2021-05-07,9,6,-,Green Zone,Movie,,"May 1, 2021",6,27
2021-05-07,10,5,-,Love Happens,Movie,,"May 1, 2021",6,29
2021-05-08,1,-,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",1,10
2021-05-08,2,1,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",2,19
2021-05-08,3,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",8,77
2021-05-08,4,3,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",15,117
2021-05-08,5,5,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",15,136
2021-05-08,6,6,-,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",7,46
2021-05-08,7,4,4,The Circle US,TV Show,Yes,"Jan 1, 2020",24,152
2021-05-08,8,7,5,Cocomelon,TV Show,,"Jun 1, 2020",197,655
2021-05-08,9,-,-,Monster,Movie,Yes,"May 7, 2021",1,2
2021-05-08,10,8,10,The Innocent,TV Show,Yes,"Apr 30, 2021",8,18
2021-05-09,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",2,20
2021-05-09,2,3,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",9,86
2021-05-09,3,2,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",3,27
2021-05-09,4,4,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",16,124
2021-05-09,5,5,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",16,142
2021-05-09,6,9,-,Monster,Movie,Yes,"May 7, 2021",2,7
2021-05-09,7,6,4,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",8,50
2021-05-09,8,8,8,Cocomelon,TV Show,,"Jun 1, 2020",198,658
2021-05-09,9,7,5,The Circle US,TV Show,Yes,"Jan 1, 2020",25,154
2021-05-09,10,-,-,Dead Man Down,Movie,,"Nov 6, 2013",1,1
2021-05-10,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",3,30
2021-05-10,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",10,95
2021-05-10,3,3,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",4,35
2021-05-10,4,10,-,Dead Man Down,Movie,,"Nov 6, 2013",2,8
2021-05-10,5,4,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",17,130
2021-05-10,6,5,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",17,147
2021-05-10,7,6,-,Monster,Movie,Yes,"May 7, 2021",3,11
2021-05-10,8,7,4,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",9,53
2021-05-10,9,-,-,StartUp,TV Show,,"May 4, 2021",1,2
2021-05-10,10,8,8,Cocomelon,TV Show,,"Jun 1, 2020",199,659
2021-05-11,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",4,40
2021-05-11,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",11,104
2021-05-11,3,3,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",5,43
2021-05-11,4,4,-,Dead Man Down,Movie,,"Nov 6, 2013",3,15
2021-05-11,5,5,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",18,136
2021-05-11,6,9,-,StartUp,TV Show,,"May 4, 2021",2,7
2021-05-11,7,6,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",18,151
2021-05-11,8,7,-,Monster,Movie,Yes,"May 7, 2021",4,14
2021-05-11,9,10,10,Cocomelon,TV Show,,"Jun 1, 2020",200,661
2021-05-11,10,8,3,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",10,54
2021-05-12,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",5,50
2021-05-12,2,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",12,113
2021-05-12,3,6,-,StartUp,TV Show,,"May 4, 2021",3,15
2021-05-12,4,3,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",6,50
2021-05-12,5,5,3,Selena: The Series,TV Show,Yes,"Dec 4, 2020",19,142
2021-05-12,6,7,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",19,156
2021-05-12,7,4,-,Dead Man Down,Movie,,"Nov 6, 2013",4,19
2021-05-12,8,9,10,Cocomelon,TV Show,,"Jun 1, 2020",201,664
2021-05-12,9,8,-,Monster,Movie,Yes,"May 7, 2021",5,16
2021-05-12,10,10,4,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",11,55
2021-05-13,1,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",6,60
2021-05-13,2,-,-,The Upshaws,TV Show,Yes,"May 12, 2021",1,9
2021-05-13,3,2,1,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",13,121
2021-05-13,4,3,-,StartUp,TV Show,,"May 4, 2021",4,22
2021-05-13,5,4,-,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",7,56
2021-05-13,6,8,10,Cocomelon,TV Show,,"Jun 1, 2020",202,669
2021-05-13,7,5,3,Selena: The Series,TV Show,Yes,"Dec 4, 2020",20,146
2021-05-13,8,6,2,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",20,159
2021-05-13,9,7,-,Dead Man Down,Movie,,"Nov 6, 2013",5,21
2021-05-13,10,10,4,Madagascar 3: Europe's Most…,Movie,,"May 1, 2021",12,56
2021-05-14,1,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",2,19
2021-05-14,2,1,-,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",7,69
2021-05-14,3,4,-,StartUp,TV Show,,"May 4, 2021",5,30
2021-05-14,4,3,2,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",14,128
2021-05-14,5,-,-,CastleVania,TV Show,Yes,"Jul 7, 2017",1,6
2021-05-14,6,6,7,Cocomelon,TV Show,,"Jun 1, 2020",203,674
2021-05-14,7,5,1,The Sons of Sam: A Descent …,TV Show,Yes,"May 5, 2021",8,60
2021-05-14,8,7,3,Selena: The Series,TV Show,Yes,"Dec 4, 2020",21,149
2021-05-14,9,8,5,Shadow and Bone,TV Show,Yes,"Apr 23, 2021",21,161
2021-05-14,10,9,-,Dead Man Down,Movie,,"Nov 6, 2013",6,22
2021-05-15,1,-,-,The Woman in the Window,Movie,Yes,"May 14, 2021",1,10
2021-05-15,2,1,-,The Upshaws,TV Show,Yes,"May 12, 2021",3,28
2021-05-15,3,2,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",8,77
2021-05-15,4,4,3,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",15,135
2021-05-15,5,3,-,StartUp,TV Show,,"May 4, 2021",6,36
2021-05-15,6,-,-,Jungle Beat: The Movie,Movie,,"May 14, 2021",1,5
2021-05-15,7,5,-,CastleVania,TV Show,Yes,"Jul 7, 2017",2,10
2021-05-15,8,6,8,Cocomelon,TV Show,,"Jun 1, 2020",204,677
2021-05-15,9,-,-,Halston,TV Show,Yes,"May 14, 2021",1,2
2021-05-15,10,-,-,I Am All Girls,Movie,Yes,"May 14, 2021",1,1
2021-05-16,1,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",2,20
2021-05-16,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",4,37
2021-05-16,3,3,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",9,85
2021-05-16,4,4,2,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",16,142
2021-05-16,5,-,-,"Love, Death & Robots",TV Show,Yes,"Mar 15, 2019",1,6
2021-05-16,6,9,-,Halston,TV Show,Yes,"May 14, 2021",2,7
2021-05-16,7,5,-,StartUp,TV Show,,"May 4, 2021",7,40
2021-05-16,8,10,-,I Am All Girls,Movie,Yes,"May 14, 2021",2,4
2021-05-16,9,8,8,Cocomelon,TV Show,,"Jun 1, 2020",205,679
2021-05-16,10,7,-,CastleVania,TV Show,Yes,"Jul 7, 2017",3,11
2021-05-17,1,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",3,30
2021-05-17,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",5,46
2021-05-17,3,3,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",10,93
2021-05-17,4,5,-,"Love, Death & Robots",TV Show,Yes,"Mar 15, 2019",2,13
2021-05-17,5,4,2,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",17,148
2021-05-17,6,6,-,Halston,TV Show,Yes,"May 14, 2021",3,12
2021-05-17,7,8,-,I Am All Girls,Movie,Yes,"May 14, 2021",3,8
2021-05-17,8,7,9,StartUp,TV Show,,"May 4, 2021",8,43
2021-05-17,9,-,-,Jungle Beat: The Movie,Movie,,"May 14, 2021",2,7
2021-05-17,10,9,10,Cocomelon,TV Show,,"Jun 1, 2020",206,680
2021-05-18,1,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",4,40
2021-05-18,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",6,55
2021-05-18,3,3,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",11,101
2021-05-18,4,4,-,"Love, Death & Robots",TV Show,Yes,"Mar 15, 2019",3,20
2021-05-18,5,5,2,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",18,154
2021-05-18,6,6,-,Halston,TV Show,Yes,"May 14, 2021",4,17
2021-05-18,7,7,-,I Am All Girls,Movie,Yes,"May 14, 2021",4,12
2021-05-18,8,8,6,StartUp,TV Show,,"May 4, 2021",9,46
2021-05-18,9,9,-,Jungle Beat: The Movie,Movie,,"May 14, 2021",3,9
2021-05-18,10,10,9,Cocomelon,TV Show,,"Jun 1, 2020",207,681
2021-05-19,1,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",5,50
2021-05-19,2,2,-,The Upshaws,TV Show,Yes,"May 12, 2021",7,64
2021-05-19,3,3,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",12,109
2021-05-19,4,8,3,StartUp,TV Show,,"May 4, 2021",10,53
2021-05-19,5,5,2,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",19,160
2021-05-19,6,7,-,I Am All Girls,Movie,Yes,"May 14, 2021",5,17
2021-05-19,7,10,8,Cocomelon,TV Show,,"Jun 1, 2020",208,685
2021-05-19,8,9,-,Jungle Beat: The Movie,Movie,,"May 14, 2021",4,12
2021-05-19,9,4,-,"Love, Death & Robots",TV Show,Yes,"Mar 15, 2019",4,22
2021-05-19,10,6,-,Halston,TV Show,Yes,"May 14, 2021",5,18
2021-05-20,1,-,-,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",29,211
2021-05-20,2,1,-,The Woman in the Window,Movie,Yes,"May 14, 2021",6,59
2021-05-20,3,2,2,The Upshaws,TV Show,Yes,"May 12, 2021",8,72
2021-05-20,4,3,1,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",13,116
